accel,lat_ms,loss,cte_p95,cte_mean,time_s,stops,completed
ideal,0,0.0,0.853,0.352,29.5,0.00,5
ideal,100,0.0,0.781,0.382,30.2,0.00,5
ideal,200,0.0,0.788,0.407,34.1,0.00,5
ideal,500,0.0,1.139,0.448,120.0,0.00,0
ideal,1000,0.0,12.122,5.988,120.0,8.20,0
ideal,0,0.1,0.864,0.363,29.4,0.00,5
ideal,100,0.1,0.773,0.388,30.3,0.00,5
ideal,200,0.1,0.801,0.407,34.4,0.00,5
ideal,500,0.1,1.285,0.573,120.0,0.00,0
ideal,1000,0.1,12.217,6.153,120.0,15.60,0
ideal,0,0.3,0.836,0.356,29.6,0.00,5
ideal,100,0.3,0.773,0.398,30.7,0.00,5
ideal,200,0.3,0.833,0.410,35.9,0.00,5
ideal,500,0.3,1.141,0.542,120.0,0.80,0
ideal,1000,0.3,12.131,6.029,120.0,35.60,0
realistic,0,0.0,0.695,0.232,31.0,0.00,5
realistic,100,0.0,0.663,0.299,33.1,0.00,5
realistic,200,0.0,0.759,0.337,41.1,0.00,5
realistic,500,0.0,2.880,1.398,120.0,0.00,0
realistic,1000,0.0,13.312,6.918,120.0,8.20,0
realistic,0,0.1,0.700,0.250,31.1,0.00,5
realistic,100,0.1,0.657,0.307,33.5,0.00,5
realistic,200,0.1,0.777,0.345,42.9,0.00,5
realistic,500,0.1,3.768,1.787,120.0,0.00,0
realistic,1000,0.1,11.044,5.890,120.0,15.60,0
realistic,0,0.3,0.698,0.284,31.6,0.00,5
realistic,100,0.3,0.665,0.309,34.5,0.00,5
realistic,200,0.3,0.845,0.378,49.9,0.00,5
realistic,500,0.3,5.444,2.477,120.0,0.80,0
realistic,1000,0.3,12.444,6.552,120.0,35.60,0
